indis,oyuncu1,oyuncu2,mac_sonucu,veri_indisi
49,cosmos_llama3,trendyol_mistral,-1,19568
50,cosmos_llama3,sambalingo_llama2,-1,19568
51,meta_llama3,trendyol_mistral,-1,19568
52,meta_llama3,sambalingo_llama2,-1,19568
53,trendyol_mistral,sambalingo_llama2,-1,19568
54,sambalingo_llama2,trendyol_mistral,-1,18970
55,sambalingo_llama2,meta_llama3,-1,18970
56,sambalingo_llama2,cosmos_llama3,-1,18970
57,trendyol_mistral,meta_llama3,-1,18970
58,trendyol_mistral,cosmos_llama3,-1,18970
59,meta_llama3,cosmos_llama3,-1,18970
60,cosmos_llama3,trendyol_mistral,-1,20577
61,cosmos_llama3,meta_llama3,-1,20577
62,cosmos_llama3,sambalingo_llama2,-1,20577
63,trendyol_mistral,meta_llama3,-1,20577
64,trendyol_mistral,sambalingo_llama2,-1,20577
65,meta_llama3,sambalingo_llama2,-1,20577
66,trendyol_mistral,sambalingo_llama2,-1,10581
67,trendyol_mistral,cosmos_llama3,-1,10581
68,trendyol_mistral,meta_llama3,-1,10581
69,sambalingo_llama2,cosmos_llama3,-1,10581
70,sambalingo_llama2,meta_llama3,-1,10581
71,cosmos_llama3,meta_llama3,-1,10581
72,meta_llama3,sambalingo_llama2,-1,19560
73,meta_llama3,trendyol_mistral,-1,19560
74,meta_llama3,cosmos_llama3,-1,19560
75,sambalingo_llama2,trendyol_mistral,-1,19560
76,sambalingo_llama2,cosmos_llama3,-1,19560
77,trendyol_mistral,cosmos_llama3,-1,19560
78,meta_llama3,cosmos_llama3,-1,6631
79,meta_llama3,sambalingo_llama2,-1,6631
80,meta_llama3,trendyol_mistral,-1,6631
81,cosmos_llama3,sambalingo_llama2,-1,6631
82,cosmos_llama3,trendyol_mistral,-1,6631
83,sambalingo_llama2,trendyol_mistral,-1,6631
84,sambalingo_llama2,trendyol_mistral,-1,8471
85,sambalingo_llama2,cosmos_llama3,-1,8471
86,sambalingo_llama2,meta_llama3,-1,8471
87,trendyol_mistral,cosmos_llama3,-1,8471
88,trendyol_mistral,meta_llama3,-1,8471
89,cosmos_llama3,meta_llama3,-1,8471
90,sambalingo_llama2,meta_llama3,-1,6836
91,sambalingo_llama2,trendyol_mistral,-1,6836
92,sambalingo_llama2,cosmos_llama3,-1,6836
93,meta_llama3,trendyol_mistral,-1,6836
94,meta_llama3,cosmos_llama3,-1,6836
95,trendyol_mistral,cosmos_llama3,-1,6836
96,sambalingo_llama2,trendyol_mistral,-1,30203
97,sambalingo_llama2,cosmos_llama3,-1,30203
98,sambalingo_llama2,meta_llama3,-1,30203
99,trendyol_mistral,cosmos_llama3,-1,30203
100,trendyol_mistral,meta_llama3,-1,30203
101,cosmos_llama3,meta_llama3,-1,30203
102,cosmos_llama3,meta_llama3,-1,27969
103,cosmos_llama3,trendyol_mistral,-1,27969
104,cosmos_llama3,sambalingo_llama2,-1,27969
105,meta_llama3,trendyol_mistral,-1,27969
106,meta_llama3,sambalingo_llama2,-1,27969
107,trendyol_mistral,sambalingo_llama2,-1,27969
108,sambalingo_llama2,cosmos_llama3,-1,26438
109,sambalingo_llama2,trendyol_mistral,-1,26438
110,sambalingo_llama2,meta_llama3,-1,26438
111,cosmos_llama3,trendyol_mistral,-1,26438
112,cosmos_llama3,meta_llama3,-1,26438
113,trendyol_mistral,meta_llama3,-1,26438
114,cosmos_llama3,sambalingo_llama2,-1,8761
115,cosmos_llama3,trendyol_mistral,-1,8761
116,cosmos_llama3,meta_llama3,-1,8761
117,sambalingo_llama2,trendyol_mistral,-1,8761
118,sambalingo_llama2,meta_llama3,-1,8761
119,trendyol_mistral,meta_llama3,-1,8761
